d_idle,p_idle,idle,total_d,total_p,total,ep
22.0,182.0,204.0,1203.0,591.0,1794.0,114
34.0,246.0,280.0,1215.0,655.0,1870.0,115
70.0,339.0,409.0,1251.0,748.0,1999.0,116
42.0,426.0,468.0,1223.0,835.0,2058.0,117
42.0,235.0,277.0,1223.0,644.0,1867.0,118
47.0,272.0,319.0,1228.0,681.0,1909.0,119
33.0,213.0,246.0,1214.0,622.0,1836.0,120
37.0,373.0,410.0,1218.0,782.0,2000.0,121
1.0,387.0,388.0,1182.0,796.0,1978.0,122
40.0,390.0,430.0,1221.0,799.0,2020.0,123
42.0,246.0,288.0,1223.0,655.0,1878.0,124
31.0,401.0,432.0,1212.0,810.0,2022.0,125
36.0,462.0,498.0,1217.0,871.0,2088.0,126
12.0,358.0,370.0,1193.0,767.0,1960.0,127
23.0,312.0,335.0,1204.0,721.0,1925.0,128
30.0,228.0,258.0,1211.0,637.0,1848.0,129
24.0,415.0,439.0,1205.0,824.0,2029.0,130
26.0,401.0,427.0,1207.0,810.0,2017.0,131
21.0,306.0,327.0,1202.0,715.0,1917.0,132
22.0,253.0,275.0,1203.0,662.0,1865.0,133
24.0,275.0,299.0,1205.0,684.0,1889.0,134
30.0,339.0,369.0,1211.0,748.0,1959.0,135
64.0,242.0,306.0,1245.0,651.0,1896.0,136
14.0,464.0,478.0,1195.0,873.0,2068.0,137
23.0,333.0,356.0,1204.0,742.0,1946.0,138
8.0,321.0,329.0,1189.0,730.0,1919.0,139
24.0,386.0,410.0,1205.0,795.0,2000.0,140
29.0,340.0,369.0,1210.0,749.0,1959.0,141
34.0,322.0,356.0,1215.0,731.0,1946.0,142
51.0,270.0,321.0,1232.0,679.0,1911.0,143
55.0,201.0,256.0,1236.0,610.0,1846.0,144
36.0,308.0,344.0,1217.0,717.0,1934.0,145
23.0,274.0,297.0,1204.0,683.0,1887.0,146
41.0,290.0,331.0,1222.0,699.0,1921.0,147
34.0,354.0,388.0,1215.0,763.0,1978.0,148
42.0,339.0,381.0,1223.0,748.0,1971.0,149
39.0,305.0,344.0,1220.0,714.0,1934.0,150
53.0,213.0,266.0,1234.0,622.0,1856.0,151
75.0,302.0,377.0,1256.0,711.0,1967.0,152
27.0,368.0,395.0,1208.0,777.0,1985.0,153
15.0,323.0,338.0,1196.0,732.0,1928.0,154
52.0,233.0,285.0,1233.0,642.0,1875.0,155
40.0,249.0,289.0,1221.0,658.0,1879.0,156
42.0,308.0,350.0,1223.0,717.0,1940.0,157
41.0,244.0,285.0,1222.0,653.0,1875.0,158
82.0,384.0,466.0,1263.0,793.0,2056.0,159
55.0,337.0,392.0,1236.0,746.0,1982.0,160
39.0,317.0,356.0,1220.0,726.0,1946.0,161
46.0,163.0,209.0,1227.0,572.0,1799.0,162
62.0,248.0,310.0,1243.0,657.0,1900.0,163
73.0,328.0,401.0,1254.0,737.0,1991.0,164
30.0,375.0,405.0,1211.0,784.0,1995.0,165
25.0,463.0,488.0,1206.0,872.0,2078.0,166
14.0,335.0,349.0,1195.0,744.0,1939.0,167
32.0,199.0,231.0,1213.0,608.0,1821.0,168
25.0,247.0,272.0,1206.0,656.0,1862.0,169
23.0,270.0,293.0,1204.0,679.0,1883.0,170
21.0,325.0,346.0,1202.0,734.0,1936.0,171
56.0,323.0,379.0,1237.0,732.0,1969.0,172
30.0,381.0,411.0,1211.0,790.0,2001.0,173
50.0,316.0,366.0,1231.0,725.0,1956.0,174
24.0,379.0,403.0,1205.0,788.0,1993.0,175
22.0,423.0,445.0,1203.0,832.0,2035.0,176
28.0,295.0,323.0,1209.0,704.0,1913.0,177
32.0,281.0,313.0,1213.0,690.0,1903.0,178
40.0,384.0,424.0,1221.0,793.0,2014.0,179
41.0,323.0,364.0,1222.0,732.0,1954.0,180
39.0,323.0,362.0,1220.0,732.0,1952.0,181
51.0,353.0,404.0,1232.0,762.0,1994.0,182
45.0,353.0,398.0,1226.0,762.0,1988.0,183
33.0,190.0,223.0,1214.0,599.0,1813.0,184
32.0,284.0,316.0,1213.0,693.0,1906.0,185
67.0,161.0,228.0,1248.0,570.0,1818.0,186
44.0,348.0,392.0,1225.0,757.0,1982.0,187
12.0,326.0,338.0,1193.0,735.0,1928.0,188
37.0,374.0,411.0,1218.0,783.0,2001.0,189
64.0,355.0,419.0,1245.0,764.0,2009.0,190
31.0,238.0,269.0,1212.0,647.0,1859.0,191
46.0,339.0,385.0,1227.0,748.0,1975.0,192
40.0,367.0,407.0,1221.0,776.0,1997.0,193
33.0,283.0,316.0,1214.0,692.0,1906.0,194
28.0,438.0,466.0,1209.0,847.0,2056.0,195
32.0,286.0,318.0,1213.0,695.0,1908.0,196
32.0,338.0,370.0,1213.0,747.0,1960.0,197
36.0,343.0,379.0,1217.0,752.0,1969.0,198
33.0,311.0,344.0,1214.0,720.0,1934.0,199
28.0,446.0,474.0,1209.0,855.0,2064.0,200
37.0,284.0,321.0,1218.0,693.0,1911.0,201
26.0,316.0,342.0,1207.0,725.0,1932.0,202
57.0,324.0,381.0,1238.0,733.0,1971.0,203
47.0,401.0,448.0,1228.0,810.0,2038.0,204
27.0,385.0,412.0,1208.0,794.0,2002.0,205
58.0,284.0,342.0,1239.0,693.0,1932.0,206
25.0,413.0,438.0,1206.0,822.0,2028.0,207
22.0,384.0,406.0,1203.0,793.0,1996.0,208
26.0,327.0,353.0,1207.0,736.0,1943.0,209
31.0,218.0,249.0,1212.0,627.0,1839.0,210
29.0,233.0,262.0,1210.0,642.0,1852.0,211
43.0,286.0,329.0,1224.0,695.0,1919.0,212
32.0,243.0,275.0,1213.0,652.0,1865.0,213
16.0,393.0,409.0,1197.0,802.0,1999.0,214
0.0,381.0,381.0,1181.0,790.0,1971.0,215
77.0,394.0,471.0,1258.0,803.0,2061.0,216
16.0,214.0,230.0,1197.0,623.0,1820.0,217
25.0,357.0,382.0,1206.0,766.0,1972.0,218
37.0,473.0,510.0,1218.0,882.0,2100.0,219
16.0,322.0,338.0,1197.0,731.0,1928.0,220
41.0,226.0,267.0,1222.0,635.0,1857.0,221
31.0,275.0,306.0,1212.0,684.0,1896.0,222
40.0,324.0,364.0,1221.0,733.0,1954.0,223
39.0,203.0,242.0,1220.0,612.0,1832.0,224
50.0,309.0,359.0,1231.0,718.0,1949.0,225
67.0,247.0,314.0,1248.0,656.0,1904.0,226
41.0,292.0,333.0,1222.0,701.0,1923.0,227
63.0,352.0,415.0,1244.0,761.0,2005.0,228
43.0,250.0,293.0,1224.0,659.0,1883.0,229
26.0,256.0,282.0,1207.0,665.0,1872.0,230
62.0,249.0,311.0,1243.0,658.0,1901.0,231
12.0,337.0,349.0,1193.0,746.0,1939.0,232
28.0,330.0,358.0,1209.0,739.0,1948.0,233
19.0,249.0,268.0,1200.0,658.0,1858.0,234
16.0,226.0,242.0,1197.0,635.0,1832.0,235
20.0,365.0,385.0,1201.0,774.0,1975.0,236
45.0,386.0,431.0,1226.0,795.0,2021.0,237
37.0,314.0,351.0,1218.0,723.0,1941.0,238
13.0,398.0,411.0,1194.0,807.0,2001.0,239
62.0,255.0,317.0,1243.0,664.0,1907.0,240
28.0,232.0,260.0,1209.0,641.0,1850.0,241
43.0,324.0,367.0,1224.0,733.0,1957.0,242
8.0,317.0,325.0,1189.0,726.0,1915.0,243
25.0,349.0,374.0,1206.0,758.0,1964.0,244
41.0,270.0,311.0,1222.0,679.0,1901.0,245
42.0,266.0,308.0,1223.0,675.0,1898.0,246
81.0,278.0,359.0,1262.0,687.0,1949.0,247
