did,pid,start_time,pro_time,finish_time,step
0,88,0.0,17,17.0,5
0,64,17.0,18,35.0,12
0,58,35.0,20,55.0,37
0,73,55.0,10,65.0,38
0,28,65.0,17,82.0,48
0,50,82.0,11,93.0,60
0,41,93.0,17,110.0,67
0,53,110.0,18,128.0,76
0,54,128.0,17,145.0,91
0,87,145.0,11,156.0,93
0,14,156.0,14,170.0,97
0,79,170.0,17,187.0,100
0,89,187.0,20,207.0,126
1,91,0.0,19,19.0,1
1,42,19.0,11,30.0,16
1,45,30.0,15,45.0,18
1,46,45.0,19,64.0,20
1,30,64.0,17,81.0,55
1,10,81.0,15,96.0,61
1,77,96.0,16,112.0,74
1,70,112.0,20,132.0,75
1,5,132.0,13,145.0,77
1,3,145.0,17,162.0,84
1,16,162.0,18,180.0,86
1,6,180.0,13,193.0,94
1,75,193.0,15,208.0,119
2,18,0.0,11,11.0,13
2,80,11.0,15,26.0,19
2,66,26.0,14,40.0,39
2,2,40.0,17,57.0,51
2,56,57.0,20,77.0,73
2,37,77.0,13,90.0,82
2,90,90.0,19,109.0,87
2,55,109.0,13,122.0,95
2,45,122.0,15,137.0,98
2,28,137.0,10,147.0,103
2,47,147.0,11,158.0,105
2,67,158.0,20,178.0,110
2,68,178.0,15,193.0,121
3,35,0.0,17,17.0,9
3,4,17.0,19,36.0,10
3,98,36.0,15,51.0,15
3,48,51.0,19,70.0,25
3,92,70.0,15,85.0,26
3,97,85.0,10,95.0,27
3,64,95.0,13,108.0,33
3,32,108.0,12,120.0,36
3,90,120.0,20,140.0,43
3,19,140.0,17,157.0,62
3,86,157.0,12,169.0,68
3,73,169.0,19,188.0,85
3,95,188.0,16,204.0,99
4,90,0.0,13,13.0,3
4,96,13.0,20,33.0,17
4,94,33.0,14,47.0,35
4,49,47.0,15,62.0,56
4,39,62.0,15,77.0,63
4,73,77.0,16,93.0,72
4,93,93.0,18,111.0,88
4,65,111.0,15,126.0,106
4,26,126.0,18,144.0,114
4,2,144.0,11,155.0,116
4,51,155.0,14,169.0,120
4,52,169.0,15,184.0,122
4,86,184.0,18,202.0,123
5,63,0.0,15,15.0,6
5,83,15.0,15,30.0,28
5,33,30.0,10,40.0,54
5,27,40.0,19,59.0,58
5,96,59.0,17,76.0,59
5,13,76.0,16,92.0,65
5,43,92.0,11,103.0,79
5,29,103.0,18,121.0,90
5,14,121.0,17,138.0,92
5,64,138.0,16,154.0,96
5,38,154.0,11,165.0,101
5,9,165.0,20,185.0,112
5,40,185.0,16,201.0,118
6,25,0.0,11,11.0,8
6,49,11.0,19,30.0,14
6,14,30.0,20,50.0,21
6,60,50.0,19,69.0,22
6,69,69.0,10,79.0,23
6,31,79.0,16,95.0,29
6,11,95.0,10,105.0,40
6,1,105.0,12,117.0,44
6,22,117.0,14,131.0,47
6,62,131.0,12,143.0,49
6,97,143.0,13,156.0,52
6,8,156.0,11,167.0,64
6,17,167.0,14,181.0,83
7,48,0.0,12,12.0,0
7,28,12.0,20,32.0,7
7,49,32.0,14,46.0,31
7,81,46.0,20,66.0,34
7,78,66.0,17,83.0,42
7,74,83.0,10,93.0,57
7,84,93.0,18,111.0,69
7,95,111.0,17,128.0,71
7,21,128.0,15,143.0,81
7,45,143.0,13,156.0,102
7,20,156.0,11,167.0,113
7,92,167.0,18,185.0,127
8,12,0.0,10,10.0,2
8,59,10.0,10,20.0,4
8,7,20.0,20,40.0,32
8,23,40.0,18,58.0,46
8,2,58.0,18,76.0,50
8,36,76.0,11,87.0,66
8,34,87.0,16,103.0,70
8,25,103.0,10,113.0,78
8,96,113.0,15,128.0,104
8,82,128.0,13,141.0,107
8,85,141.0,15,156.0,108
8,15,156.0,11,167.0,115
8,61,167.0,19,186.0,124
9,92,0.0,15,15.0,11
9,0,15.0,16,31.0,24
9,57,31.0,20,51.0,30
9,76,51.0,19,70.0,41
9,25,70.0,15,85.0,45
9,95,85.0,12,97.0,53
9,48,97.0,11,108.0,80
9,71,108.0,20,128.0,89
9,24,128.0,19,147.0,109
9,72,147.0,12,159.0,111
9,99,159.0,19,178.0,117
9,44,178.0,10,188.0,125
