did,pid,start_time,pro_time,finish_time,step
0,53,0.0,18,18.0,3
0,41,18.0,17,35.0,4
0,88,35.0,17,52.0,15
0,28,52.0,17,69.0,21
0,54,69.0,17,86.0,22
0,89,86.0,20,106.0,38
0,79,106.0,17,123.0,66
0,87,123.0,11,134.0,80
0,58,134.0,20,154.0,84
0,64,154.0,18,172.0,85
0,14,172.0,14,186.0,96
0,73,186.0,10,196.0,98
0,50,196.0,11,207.0,105
1,91,0.0,19,19.0,1
1,46,19.0,19,38.0,7
1,5,38.0,13,51.0,42
1,16,51.0,18,69.0,56
1,42,69.0,11,80.0,61
1,77,80.0,16,96.0,76
1,3,96.0,17,113.0,87
1,70,113.0,20,133.0,88
1,45,133.0,15,148.0,92
1,6,148.0,13,161.0,100
1,75,161.0,15,176.0,101
1,30,176.0,17,193.0,108
1,10,193.0,15,208.0,110
2,37,0.0,13,13.0,8
2,47,13.0,11,24.0,20
2,55,24.0,13,37.0,25
2,45,37.0,15,52.0,27
2,80,52.0,15,67.0,31
2,66,67.0,14,81.0,60
2,67,81.0,20,101.0,63
2,68,101.0,15,116.0,69
2,90,116.0,19,135.0,75
2,28,135.0,10,145.0,86
2,18,145.0,11,156.0,90
2,56,156.0,20,176.0,106
2,2,176.0,17,193.0,116
3,48,0.0,19,19.0,6
3,73,19.0,19,38.0,9
3,95,38.0,16,54.0,14
3,64,54.0,13,67.0,17
3,92,67.0,15,82.0,24
3,35,82.0,17,99.0,50
3,32,99.0,12,111.0,54
3,19,111.0,17,128.0,55
3,86,128.0,12,140.0,59
3,4,140.0,19,159.0,72
3,90,159.0,20,179.0,89
3,98,179.0,15,194.0,109
3,97,194.0,10,204.0,117
4,2,0.0,11,11.0,2
4,93,11.0,18,29.0,19
4,96,29.0,20,49.0,39
4,52,49.0,15,64.0,43
4,49,64.0,15,79.0,45
4,26,79.0,18,97.0,64
4,86,97.0,18,115.0,73
4,73,115.0,16,131.0,74
4,39,131.0,15,146.0,97
4,90,146.0,13,159.0,102
4,65,159.0,15,174.0,115
4,94,174.0,14,188.0,122
4,51,188.0,14,202.0,126
5,29,0.0,18,18.0,0
5,33,18.0,10,28.0,12
5,27,28.0,19,47.0,29
5,38,47.0,11,58.0,34
5,43,58.0,11,69.0,35
5,40,69.0,16,85.0,46
5,13,85.0,16,101.0,52
5,96,101.0,17,118.0,53
5,63,118.0,15,133.0,70
5,64,133.0,16,149.0,83
5,14,149.0,17,166.0,104
5,9,166.0,20,186.0,114
5,83,186.0,15,201.0,121
6,69,0.0,10,10.0,23
6,17,10.0,14,24.0,30
6,49,24.0,19,43.0,48
6,22,43.0,14,57.0,51
6,14,57.0,20,77.0,65
6,1,77.0,12,89.0,77
6,31,89.0,16,105.0,81
6,11,105.0,10,115.0,93
6,25,130.0,11,141.0,99
6,8,115.0,11,126.0,103
6,60,141.0,19,160.0,120
6,97,160.0,13,173.0,125
6,62,173.0,12,185.0,127
7,45,0.0,13,13.0,18
7,74,13.0,10,23.0,28
7,20,23.0,11,34.0,33
7,78,34.0,17,51.0,40
7,21,51.0,15,66.0,41
7,48,66.0,12,78.0,58
7,49,79.0,14,93.0,68
7,95,93.0,17,110.0,71
7,28,110.0,20,130.0,78
7,92,130.0,18,148.0,82
7,84,148.0,18,166.0,107
7,81,166.0,20,186.0,113
8,82,0.0,13,13.0,10
8,15,13.0,11,24.0,16
8,61,24.0,19,43.0,26
8,7,43.0,20,63.0,32
8,36,63.0,11,74.0,36
8,2,74.0,18,92.0,44
8,85,92.0,15,107.0,47
8,34,107.0,16,123.0,79
8,59,123.0,10,133.0,91
8,12,133.0,10,143.0,95
8,96,143.0,15,158.0,112
8,23,158.0,18,176.0,119
8,25,176.0,10,186.0,124
9,0,0.0,16,16.0,5
9,76,16.0,19,35.0,11
9,44,35.0,10,45.0,13
9,72,45.0,12,57.0,37
9,71,57.0,20,77.0,49
9,24,77.0,19,96.0,57
9,99,96.0,19,115.0,62
9,25,115.0,15,130.0,67
9,57,130.0,20,150.0,94
9,92,150.0,15,165.0,111
9,95,165.0,12,177.0,118
9,48,177.0,11,188.0,123
