did,pid,start_time,pro_time,finish_time,step
0,148,0.0,12,12.0,6
0,130,12.0,20,32.0,15
0,54,32.0,12,44.0,16
0,6,44.0,18,62.0,20
0,219,62.0,16,78.0,25
0,160,78.0,18,96.0,53
0,168,96.0,20,116.0,175
0,18,116.0,16,132.0,184
0,95,132.0,18,150.0,196
0,98,150.0,12,162.0,221
1,178,0.0,14,14.0,4
1,125,14.0,17,31.0,11
1,219,31.0,12,43.0,60
1,126,43.0,14,57.0,65
1,124,57.0,20,77.0,86
1,87,77.0,20,97.0,97
1,41,97.0,15,112.0,113
1,49,112.0,15,127.0,130
1,15,127.0,20,147.0,201
1,7,147.0,10,157.0,211
1,189,157.0,16,173.0,244
1,212,173.0,18,191.0,246
1,208,191.0,14,205.0,249
1,79,205.0,15,220.0,266
2,23,0.0,15,15.0,17
2,156,15.0,13,28.0,19
2,166,28.0,11,39.0,27
2,187,39.0,13,52.0,89
2,29,52.0,20,72.0,95
2,100,72.0,20,92.0,114
2,196,92.0,14,106.0,123
2,204,106.0,19,125.0,134
2,190,125.0,20,145.0,142
2,193,145.0,15,160.0,144
2,76,160.0,14,174.0,165
2,135,174.0,12,186.0,171
2,57,186.0,14,200.0,241
2,148,200.0,17,217.0,261
3,3,0.0,16,16.0,32
3,89,16.0,14,30.0,39
3,52,30.0,11,41.0,44
3,206,41.0,19,60.0,45
3,61,60.0,16,76.0,82
3,169,76.0,13,89.0,148
3,120,89.0,16,105.0,154
3,209,105.0,19,124.0,162
3,45,124.0,17,141.0,183
3,85,141.0,11,152.0,210
3,55,152.0,14,166.0,251
4,69,0.0,12,12.0,29
4,206,12.0,15,27.0,63
4,106,27.0,20,47.0,79
4,104,47.0,11,58.0,83
4,5,58.0,13,71.0,124
4,126,71.0,13,84.0,164
4,88,84.0,17,101.0,178
4,110,101.0,13,114.0,182
4,123,114.0,19,133.0,193
4,146,133.0,15,148.0,218
4,47,148.0,18,166.0,250
4,134,166.0,12,178.0,264
5,200,0.0,15,15.0,23
5,203,15.0,13,28.0,43
5,10,28.0,20,48.0,112
5,24,48.0,20,68.0,115
5,157,68.0,10,78.0,117
5,17,78.0,20,98.0,131
5,35,98.0,16,114.0,150
5,111,114.0,17,131.0,190
5,20,131.0,11,142.0,202
5,207,142.0,12,154.0,229
5,216,154.0,15,169.0,234
5,43,169.0,13,182.0,238
5,206,182.0,10,192.0,245
5,115,192.0,18,210.0,260
6,173,0.0,20,20.0,3
6,36,20.0,13,33.0,37
6,117,33.0,15,48.0,47
6,48,48.0,20,68.0,55
6,12,68.0,14,82.0,57
6,172,82.0,10,92.0,73
6,0,92.0,10,102.0,110
6,181,102.0,19,121.0,125
6,124,121.0,11,132.0,126
6,176,132.0,14,146.0,169
6,22,146.0,19,165.0,172
6,32,165.0,15,180.0,225
6,25,180.0,19,199.0,242
6,216,199.0,13,212.0,253
7,198,0.0,14,14.0,12
7,99,14.0,17,31.0,18
7,177,31.0,12,43.0,42
7,136,43.0,12,55.0,69
7,40,55.0,13,68.0,76
7,78,68.0,20,88.0,84
7,56,88.0,16,104.0,98
7,105,104.0,15,119.0,128
7,53,119.0,13,132.0,135
7,28,132.0,11,143.0,156
7,58,143.0,17,160.0,166
7,91,160.0,16,176.0,185
7,162,176.0,15,191.0,204
7,184,191.0,12,203.0,212
8,75,0.0,14,14.0,49
8,103,14.0,14,28.0,51
8,186,28.0,10,38.0,68
8,159,38.0,11,49.0,71
8,143,49.0,10,59.0,104
8,218,59.0,12,71.0,133
8,199,71.0,13,84.0,149
8,192,84.0,10,94.0,168
8,68,94.0,10,104.0,170
8,59,104.0,19,123.0,199
8,34,123.0,14,137.0,217
8,13,137.0,16,153.0,223
8,148,153.0,17,170.0,228
8,33,170.0,15,185.0,239
9,74,0.0,11,11.0,8
9,160,11.0,11,22.0,10
9,70,22.0,16,38.0,21
9,183,38.0,15,53.0,24
9,144,53.0,12,65.0,78
9,116,65.0,20,85.0,85
9,189,85.0,11,96.0,111
9,151,96.0,11,107.0,147
9,182,107.0,10,117.0,173
9,185,117.0,11,128.0,191
9,205,128.0,16,144.0,200
9,197,144.0,20,164.0,222
9,139,164.0,11,175.0,247
9,112,175.0,10,185.0,263
10,26,0.0,12,12.0,26
10,128,12.0,19,31.0,61
10,96,31.0,12,43.0,77
10,78,43.0,15,58.0,80
10,155,58.0,14,72.0,92
10,109,72.0,20,92.0,93
10,80,92.0,11,103.0,94
10,101,103.0,16,119.0,136
10,9,119.0,20,139.0,167
10,131,139.0,18,157.0,176
10,141,157.0,11,168.0,189
10,60,168.0,10,178.0,215
10,165,178.0,10,188.0,235
10,11,188.0,19,207.0,257
11,171,0.0,11,11.0,5
11,24,11.0,16,27.0,7
11,167,27.0,12,39.0,14
11,8,39.0,17,56.0,38
11,153,56.0,18,74.0,108
11,88,74.0,10,84.0,119
11,93,84.0,11,95.0,132
11,65,95.0,10,105.0,151
11,188,105.0,11,116.0,152
11,4,116.0,17,133.0,157
11,78,133.0,20,153.0,158
11,46,153.0,17,170.0,174
11,14,170.0,10,180.0,236
11,215,180.0,15,195.0,254
12,31,0.0,20,20.0,1
12,191,20.0,11,31.0,22
12,194,31.0,18,49.0,30
12,20,49.0,19,68.0,46
12,118,68.0,18,86.0,48
12,180,86.0,13,99.0,70
12,145,99.0,11,110.0,101
12,92,110.0,19,129.0,127
12,106,129.0,12,141.0,177
12,77,141.0,14,155.0,194
12,108,155.0,18,173.0,195
12,84,173.0,15,188.0,203
12,67,188.0,13,201.0,219
12,175,201.0,12,213.0,220
13,50,0.0,11,11.0,13
13,21,11.0,10,21.0,54
13,142,21.0,17,38.0,58
13,149,38.0,14,52.0,62
13,64,52.0,17,69.0,88
13,16,69.0,20,89.0,96
13,140,89.0,10,99.0,106
13,82,99.0,12,111.0,120
13,51,111.0,12,123.0,143
13,90,123.0,17,140.0,146
13,174,140.0,17,157.0,155
13,219,157.0,15,172.0,163
13,213,172.0,12,184.0,180
13,55,184.0,11,195.0,258
14,112,0.0,13,13.0,31
14,183,13.0,14,27.0,36
14,2,27.0,17,44.0,74
14,138,44.0,17,61.0,75
14,164,61.0,15,76.0,91
14,90,76.0,13,89.0,100
14,27,89.0,14,103.0,118
14,83,103.0,14,117.0,129
14,207,117.0,13,130.0,137
14,113,130.0,13,143.0,138
14,91,143.0,17,160.0,187
14,73,160.0,17,177.0,224
14,161,177.0,13,190.0,226
14,79,190.0,15,205.0,230
15,98,0.0,14,14.0,35
15,145,14.0,15,29.0,40
15,111,29.0,10,39.0,56
15,163,39.0,14,53.0,66
15,201,53.0,20,73.0,99
15,63,73.0,20,93.0,102
15,62,93.0,10,103.0,109
15,146,103.0,14,117.0,116
15,214,117.0,18,135.0,121
15,154,135.0,15,150.0,214
15,183,150.0,10,160.0,233
15,150,160.0,12,172.0,237
