did,pid,start_time,pro_time,finish_time,step
0,26,0.0,16,16.0,0
0,16,16.0,13,29.0,7
0,22,29.0,13,42.0,17
0,4,42.0,14,56.0,22
0,48,56.0,18,74.0,32
0,44,74.0,18,92.0,36
0,38,92.0,16,108.0,47
0,42,108.0,18,126.0,76
1,54,0.0,19,19.0,5
1,47,19.0,12,31.0,39
1,59,31.0,12,43.0,49
1,13,43.0,10,53.0,55
1,37,53.0,15,68.0,60
1,19,68.0,11,79.0,69
1,50,79.0,20,99.0,73
1,0,99.0,13,112.0,75
2,29,0.0,10,10.0,2
2,41,10.0,12,22.0,6
2,57,22.0,14,36.0,14
2,42,36.0,16,52.0,21
2,36,52.0,12,64.0,42
2,10,64.0,11,75.0,45
2,43,75.0,19,94.0,61
2,27,94.0,10,104.0,72
3,19,15.0,10,25.0,10
3,4,0,15,15,15
3,20,25.0,18,43.0,18
3,12,43.0,11,54.0,31
3,53,54.0,18,72.0,38
3,23,72.0,19,91.0,43
3,34,91.0,20,111.0,48
3,51,111.0,18,129.0,64
4,39,0.0,20,20.0,1
4,5,20.0,10,30.0,12
4,14,30.0,20,50.0,27
4,54,50.0,15,65.0,30
4,24,65.0,20,85.0,34
4,35,85.0,13,98.0,37
4,32,98.0,15,113.0,63
4,25,113.0,10,123.0,74
5,13,0.0,10,10.0,16
5,31,10.0,12,22.0,24
5,42,22.0,14,36.0,35
5,17,36.0,19,55.0,46
5,0,55.0,16,71.0,50
5,30,71.0,16,87.0,52
5,58,87.0,11,98.0,54
5,54,98.0,16,114.0,59
6,19,0.0,15,15.0,3
6,8,15.0,18,33.0,25
6,48,33.0,20,53.0,28
6,56,53.0,18,71.0,33
6,55,71.0,15,86.0,40
6,33,86.0,20,106.0,56
6,40,106.0,16,122.0,58
6,13,122.0,10,132.0,77
7,6,0.0,18,18.0,8
7,17,18.0,15,33.0,13
7,1,33.0,11,44.0,23
7,11,44.0,11,55.0,29
7,2,55.0,19,74.0,44
7,0,74.0,16,90.0,51
7,49,90.0,12,102.0,66
7,56,102.0,14,116.0,71
8,48,0.0,14,14.0,4
8,45,14.0,20,34.0,9
8,3,34.0,10,44.0,20
8,46,44.0,17,61.0,53
8,4,61.0,13,74.0,57
8,9,74.0,14,88.0,62
9,21,0.0,15,15.0,11
9,28,15.0,18,33.0,19
9,18,33.0,17,50.0,26
9,7,50.0,14,64.0,41
9,15,64.0,16,80.0,65
9,56,80.0,20,100.0,67
9,52,100.0,17,117.0,68
9,17,117.0,20,137.0,70
