d_idle,p_idle,idle,total_d,total_p,total,ep
19.0,336.0,355.0,1200.0,745.0,1945.0,1
17.0,490.0,507.0,1198.0,899.0,2097.0,2
38.0,288.0,326.0,1219.0,697.0,1916.0,3
77.0,297.0,374.0,1258.0,706.0,1964.0,4
26.0,313.0,339.0,1207.0,722.0,1929.0,5
58.0,319.0,377.0,1239.0,728.0,1967.0,6
31.0,237.0,268.0,1212.0,646.0,1858.0,7
50.0,361.0,411.0,1231.0,770.0,2001.0,8
55.0,436.0,491.0,1236.0,845.0,2081.0,9
51.0,373.0,424.0,1232.0,782.0,2014.0,10
45.0,346.0,391.0,1226.0,755.0,1981.0,11
38.0,267.0,305.0,1219.0,676.0,1895.0,12
63.0,433.0,496.0,1244.0,842.0,2086.0,13
40.0,264.0,304.0,1221.0,673.0,1894.0,14
14.0,310.0,324.0,1195.0,719.0,1914.0,15
35.0,314.0,349.0,1216.0,723.0,1939.0,16
13.0,370.0,383.0,1194.0,779.0,1973.0,17
42.0,253.0,295.0,1223.0,662.0,1885.0,18
59.0,316.0,375.0,1240.0,725.0,1965.0,19
32.0,294.0,326.0,1213.0,703.0,1916.0,20
64.0,467.0,531.0,1245.0,876.0,2121.0,21
52.0,271.0,323.0,1233.0,680.0,1913.0,22
64.0,333.0,397.0,1245.0,742.0,1987.0,23
55.0,351.0,406.0,1236.0,760.0,1996.0,24
42.0,321.0,363.0,1223.0,730.0,1953.0,25
33.0,232.0,265.0,1214.0,641.0,1855.0,26
41.0,324.0,365.0,1222.0,733.0,1955.0,27
30.0,201.0,231.0,1211.0,610.0,1821.0,28
38.0,369.0,407.0,1219.0,778.0,1997.0,29
68.0,406.0,474.0,1249.0,815.0,2064.0,30
36.0,381.0,417.0,1217.0,790.0,2007.0,31
30.0,224.0,254.0,1211.0,633.0,1844.0,32
19.0,373.0,392.0,1200.0,782.0,1982.0,33
24.0,352.0,376.0,1205.0,761.0,1966.0,34
39.0,315.0,354.0,1220.0,724.0,1944.0,35
37.0,296.0,333.0,1218.0,705.0,1923.0,36
12.0,306.0,318.0,1193.0,715.0,1908.0,37
17.0,415.0,432.0,1198.0,824.0,2022.0,38
38.0,247.0,285.0,1219.0,656.0,1875.0,39
38.0,248.0,286.0,1219.0,657.0,1876.0,40
27.0,295.0,322.0,1208.0,704.0,1912.0,41
38.0,295.0,333.0,1219.0,704.0,1923.0,42
21.0,266.0,287.0,1202.0,675.0,1877.0,43
46.0,317.0,363.0,1227.0,726.0,1953.0,44
45.0,206.0,251.0,1226.0,615.0,1841.0,45
56.0,338.0,394.0,1237.0,747.0,1984.0,46
33.0,391.0,424.0,1214.0,800.0,2014.0,47
34.0,228.0,262.0,1215.0,637.0,1852.0,48
40.0,304.0,344.0,1221.0,713.0,1934.0,49
26.0,340.0,366.0,1207.0,749.0,1956.0,50
31.0,328.0,359.0,1212.0,737.0,1949.0,51
48.0,230.0,278.0,1229.0,639.0,1868.0,52
37.0,326.0,363.0,1218.0,735.0,1953.0,53
35.0,358.0,393.0,1216.0,767.0,1983.0,54
25.0,254.0,279.0,1206.0,663.0,1869.0,55
87.0,176.0,263.0,1268.0,585.0,1853.0,56
34.0,293.0,327.0,1215.0,702.0,1917.0,57
45.0,218.0,263.0,1226.0,627.0,1853.0,58
16.0,351.0,367.0,1197.0,760.0,1957.0,59
45.0,214.0,259.0,1226.0,623.0,1849.0,60
19.0,394.0,413.0,1200.0,803.0,2003.0,61
49.0,362.0,411.0,1230.0,771.0,2001.0,62
24.0,383.0,407.0,1205.0,792.0,1997.0,63
30.0,302.0,332.0,1211.0,711.0,1922.0,64
47.0,316.0,363.0,1228.0,725.0,1953.0,65
40.0,309.0,349.0,1221.0,718.0,1939.0,66
27.0,364.0,391.0,1208.0,773.0,1981.0,67
59.0,341.0,400.0,1240.0,750.0,1990.0,68
8.0,348.0,356.0,1189.0,757.0,1946.0,69
44.0,298.0,342.0,1225.0,707.0,1932.0,70
38.0,376.0,414.0,1219.0,785.0,2004.0,71
39.0,344.0,383.0,1220.0,753.0,1973.0,72
47.0,270.0,317.0,1228.0,679.0,1907.0,73
16.0,380.0,396.0,1197.0,789.0,1986.0,74
40.0,192.0,232.0,1221.0,601.0,1822.0,75
19.0,365.0,384.0,1200.0,774.0,1974.0,76
21.0,275.0,296.0,1202.0,684.0,1886.0,77
40.0,306.0,346.0,1221.0,715.0,1936.0,78
28.0,341.0,369.0,1209.0,750.0,1959.0,79
14.0,340.0,354.0,1195.0,749.0,1944.0,80
43.0,383.0,426.0,1224.0,792.0,2016.0,81
29.0,334.0,363.0,1210.0,743.0,1953.0,82
66.0,306.0,372.0,1247.0,715.0,1962.0,83
48.0,392.0,440.0,1229.0,801.0,2030.0,84
24.0,266.0,290.0,1205.0,675.0,1880.0,85
25.0,516.0,541.0,1206.0,925.0,2131.0,86
51.0,311.0,362.0,1232.0,720.0,1952.0,87
28.0,352.0,380.0,1209.0,761.0,1970.0,88
16.0,388.0,404.0,1197.0,797.0,1994.0,89
58.0,393.0,451.0,1239.0,802.0,2041.0,90
29.0,268.0,297.0,1210.0,677.0,1887.0,91
66.0,247.0,313.0,1247.0,656.0,1903.0,92
56.0,360.0,416.0,1237.0,769.0,2006.0,93
7.0,385.0,392.0,1188.0,794.0,1982.0,94
47.0,239.0,286.0,1228.0,648.0,1876.0,95
32.0,132.0,164.0,1213.0,541.0,1754.0,96
49.0,367.0,416.0,1230.0,776.0,2006.0,97
54.0,360.0,414.0,1235.0,769.0,2004.0,98
72.0,343.0,415.0,1253.0,752.0,2005.0,99
44.0,396.0,440.0,1225.0,805.0,2030.0,100
20.0,314.0,334.0,1201.0,723.0,1924.0,101
52.0,410.0,462.0,1233.0,819.0,2052.0,102
31.0,249.0,280.0,1212.0,658.0,1870.0,103
15.0,255.0,270.0,1196.0,664.0,1860.0,104
49.0,377.0,426.0,1230.0,786.0,2016.0,105
11.0,322.0,333.0,1192.0,731.0,1923.0,106
22.0,402.0,424.0,1203.0,811.0,2014.0,107
10.0,414.0,424.0,1191.0,823.0,2014.0,108
36.0,335.0,371.0,1217.0,744.0,1961.0,109
28.0,331.0,359.0,1209.0,740.0,1949.0,110
14.0,333.0,347.0,1195.0,742.0,1937.0,111
30.0,357.0,387.0,1211.0,766.0,1977.0,112
69.0,312.0,381.0,1250.0,721.0,1971.0,113
41.0,310.0,351.0,1222.0,719.0,1941.0,114
13.0,405.0,418.0,1194.0,814.0,2008.0,115
26.0,240.0,266.0,1207.0,649.0,1856.0,116
22.0,323.0,345.0,1203.0,732.0,1935.0,117
30.0,381.0,411.0,1211.0,790.0,2001.0,118
18.0,252.0,270.0,1199.0,661.0,1860.0,119
26.0,272.0,298.0,1207.0,681.0,1888.0,120
21.0,238.0,259.0,1202.0,647.0,1849.0,121
7.0,329.0,336.0,1188.0,738.0,1926.0,122
9.0,270.0,279.0,1190.0,679.0,1869.0,123
53.0,249.0,302.0,1234.0,658.0,1892.0,124
37.0,292.0,329.0,1218.0,701.0,1919.0,125
14.0,243.0,257.0,1195.0,652.0,1847.0,126
47.0,404.0,451.0,1228.0,813.0,2041.0,127
30.0,215.0,245.0,1211.0,624.0,1835.0,128
7.0,358.0,365.0,1188.0,767.0,1955.0,129
