d_idle,p_idle,idle,total_d,total_p,total,ep
22.0,386.0,408.0,1203.0,795.0,1998.0,1
19.0,219.0,238.0,1200.0,628.0,1828.0,2
57.0,300.0,357.0,1238.0,709.0,1947.0,3
27.0,281.0,308.0,1208.0,690.0,1898.0,4
7.0,344.0,351.0,1188.0,753.0,1941.0,5
47.0,175.0,222.0,1228.0,584.0,1812.0,6
41.0,266.0,307.0,1222.0,675.0,1897.0,7
17.0,371.0,388.0,1198.0,780.0,1978.0,8
66.0,195.0,261.0,1247.0,604.0,1851.0,9
28.0,413.0,441.0,1209.0,822.0,2031.0,10
84.0,318.0,402.0,1265.0,727.0,1992.0,11
20.0,331.0,351.0,1201.0,740.0,1941.0,12
42.0,308.0,350.0,1223.0,717.0,1940.0,13
33.0,318.0,351.0,1214.0,727.0,1941.0,14
86.0,273.0,359.0,1267.0,682.0,1949.0,15
47.0,335.0,382.0,1228.0,744.0,1972.0,16
32.0,268.0,300.0,1213.0,677.0,1890.0,17
52.0,328.0,380.0,1233.0,737.0,1970.0,18
54.0,376.0,430.0,1235.0,785.0,2020.0,19
46.0,275.0,321.0,1227.0,684.0,1911.0,20
28.0,364.0,392.0,1209.0,773.0,1982.0,21
16.0,413.0,429.0,1197.0,822.0,2019.0,22
49.0,328.0,377.0,1230.0,737.0,1967.0,23
79.0,312.0,391.0,1260.0,721.0,1981.0,24
36.0,343.0,379.0,1217.0,752.0,1969.0,25
42.0,380.0,422.0,1223.0,789.0,2012.0,26
35.0,306.0,341.0,1216.0,715.0,1931.0,27
35.0,248.0,283.0,1216.0,657.0,1873.0,28
8.0,442.0,450.0,1189.0,851.0,2040.0,29
33.0,331.0,364.0,1214.0,740.0,1954.0,30
54.0,343.0,397.0,1235.0,752.0,1987.0,31
37.0,393.0,430.0,1218.0,802.0,2020.0,32
22.0,230.0,252.0,1203.0,639.0,1842.0,33
44.0,360.0,404.0,1225.0,769.0,1994.0,34
32.0,340.0,372.0,1213.0,749.0,1962.0,35
32.0,273.0,305.0,1213.0,682.0,1895.0,36
26.0,288.0,314.0,1207.0,697.0,1904.0,37
81.0,404.0,485.0,1262.0,813.0,2075.0,38
51.0,260.0,311.0,1232.0,669.0,1901.0,39
35.0,213.0,248.0,1216.0,622.0,1838.0,40
16.0,259.0,275.0,1197.0,668.0,1865.0,41
54.0,292.0,346.0,1235.0,701.0,1936.0,42
57.0,377.0,434.0,1238.0,786.0,2024.0,43
29.0,350.0,379.0,1210.0,759.0,1969.0,44
29.0,315.0,344.0,1210.0,724.0,1934.0,45
44.0,227.0,271.0,1225.0,636.0,1861.0,46
24.0,210.0,234.0,1205.0,619.0,1824.0,47
34.0,370.0,404.0,1215.0,779.0,1994.0,48
32.0,302.0,334.0,1213.0,711.0,1924.0,49
52.0,325.0,377.0,1233.0,734.0,1967.0,50
19.0,268.0,287.0,1200.0,677.0,1877.0,51
44.0,357.0,401.0,1225.0,766.0,1991.0,52
14.0,364.0,378.0,1195.0,773.0,1968.0,53
37.0,322.0,359.0,1218.0,731.0,1949.0,54
21.0,384.0,405.0,1202.0,793.0,1995.0,55
25.0,211.0,236.0,1206.0,620.0,1826.0,56
38.0,228.0,266.0,1219.0,637.0,1856.0,57
36.0,277.0,313.0,1217.0,686.0,1903.0,58
94.0,317.0,411.0,1275.0,726.0,2001.0,59
52.0,298.0,350.0,1233.0,707.0,1940.0,60
47.0,271.0,318.0,1228.0,680.0,1908.0,61
74.0,231.0,305.0,1255.0,640.0,1895.0,62
34.0,295.0,329.0,1215.0,704.0,1919.0,63
12.0,370.0,382.0,1193.0,779.0,1972.0,64
57.0,222.0,279.0,1238.0,631.0,1869.0,65
76.0,274.0,350.0,1257.0,683.0,1940.0,66
30.0,234.0,264.0,1211.0,643.0,1854.0,67
27.0,352.0,379.0,1208.0,761.0,1969.0,68
29.0,305.0,334.0,1210.0,714.0,1924.0,69
64.0,361.0,425.0,1245.0,770.0,2015.0,70
46.0,292.0,338.0,1227.0,701.0,1928.0,71
28.0,356.0,384.0,1209.0,765.0,1974.0,72
22.0,300.0,322.0,1203.0,709.0,1912.0,73
