d_idle,p_idle,idle,total_d,total_p,total,ep
77.0,240.0,317.0,1258.0,649.0,1907.0,114
23.0,274.0,297.0,1204.0,683.0,1887.0,115
74.0,385.0,459.0,1255.0,794.0,2049.0,116
73.0,240.0,313.0,1254.0,649.0,1903.0,117
34.0,283.0,317.0,1215.0,692.0,1907.0,118
41.0,277.0,318.0,1222.0,686.0,1908.0,119
46.0,327.0,373.0,1227.0,736.0,1963.0,120
d_idle,p_idle,idle,total_d,total_p,total,ep
45.0,352.0,397.0,1226.0,761.0,1987.0,1
25.0,353.0,378.0,1206.0,762.0,1968.0,2
36.0,356.0,392.0,1217.0,765.0,1982.0,3
41.0,309.0,350.0,1222.0,718.0,1940.0,4
56.0,338.0,394.0,1237.0,747.0,1984.0,5
39.0,401.0,440.0,1220.0,810.0,2030.0,6
41.0,195.0,236.0,1222.0,604.0,1826.0,7
19.0,330.0,349.0,1200.0,739.0,1939.0,8
28.0,372.0,400.0,1209.0,781.0,1990.0,9
36.0,262.0,298.0,1217.0,671.0,1888.0,10
21.0,352.0,373.0,1202.0,761.0,1963.0,11
28.0,381.0,409.0,1209.0,790.0,1999.0,12
20.0,204.0,224.0,1201.0,613.0,1814.0,13
20.0,324.0,344.0,1201.0,733.0,1934.0,14
35.0,269.0,304.0,1216.0,678.0,1894.0,15
20.0,284.0,304.0,1201.0,693.0,1894.0,16
20.0,318.0,338.0,1201.0,727.0,1928.0,17
25.0,336.0,361.0,1206.0,745.0,1951.0,18
25.0,340.0,365.0,1206.0,749.0,1955.0,19
23.0,351.0,374.0,1204.0,760.0,1964.0,20
58.0,306.0,364.0,1239.0,715.0,1954.0,21
29.0,223.0,252.0,1210.0,632.0,1842.0,22
5.0,464.0,469.0,1186.0,873.0,2059.0,23
34.0,313.0,347.0,1215.0,722.0,1937.0,24
11.0,331.0,342.0,1192.0,740.0,1932.0,25
37.0,263.0,300.0,1218.0,672.0,1890.0,26
43.0,281.0,324.0,1224.0,690.0,1914.0,27
4.0,408.0,412.0,1185.0,817.0,2002.0,28
58.0,297.0,355.0,1239.0,706.0,1945.0,29
26.0,302.0,328.0,1207.0,711.0,1918.0,30
37.0,317.0,354.0,1218.0,726.0,1944.0,31
38.0,341.0,379.0,1219.0,750.0,1969.0,32
30.0,293.0,323.0,1211.0,702.0,1913.0,33
35.0,263.0,298.0,1216.0,672.0,1888.0,34
22.0,399.0,421.0,1203.0,808.0,2011.0,35
36.0,249.0,285.0,1217.0,658.0,1875.0,36
79.0,333.0,412.0,1260.0,742.0,2002.0,37
32.0,343.0,375.0,1213.0,752.0,1965.0,38
48.0,285.0,333.0,1229.0,694.0,1923.0,39
9.0,326.0,335.0,1190.0,735.0,1925.0,40
20.0,321.0,341.0,1201.0,730.0,1931.0,41
30.0,290.0,320.0,1211.0,699.0,1910.0,42
21.0,341.0,362.0,1202.0,750.0,1952.0,43
91.0,196.0,287.0,1272.0,605.0,1877.0,44
14.0,332.0,346.0,1195.0,741.0,1936.0,45
30.0,319.0,349.0,1211.0,728.0,1939.0,46
28.0,323.0,351.0,1209.0,732.0,1941.0,47
47.0,187.0,234.0,1228.0,596.0,1824.0,48
16.0,312.0,328.0,1197.0,721.0,1918.0,49
52.0,271.0,323.0,1233.0,680.0,1913.0,50
48.0,277.0,325.0,1229.0,686.0,1915.0,51
21.0,389.0,410.0,1202.0,798.0,2000.0,52
85.0,340.0,425.0,1266.0,749.0,2015.0,53
18.0,304.0,322.0,1199.0,713.0,1912.0,54
33.0,362.0,395.0,1214.0,771.0,1985.0,55
48.0,336.0,384.0,1229.0,745.0,1974.0,56
4.0,379.0,383.0,1185.0,788.0,1973.0,57
35.0,225.0,260.0,1216.0,634.0,1850.0,58
34.0,336.0,370.0,1215.0,745.0,1960.0,59
20.0,246.0,266.0,1201.0,655.0,1856.0,60
40.0,177.0,217.0,1221.0,586.0,1807.0,61
27.0,293.0,320.0,1208.0,702.0,1910.0,62
64.0,327.0,391.0,1245.0,736.0,1981.0,63
20.0,311.0,331.0,1201.0,720.0,1921.0,64
