p_idle,d_idle,total_idle_time,d_total_time
8276.0,12.0,8288,6537.0
8341.0,23.0,8364,6548.0
8370.0,14.0,8384,6539.0
8151.0,20.0,8171,6545.0
8311.0,15.0,8326,6540.0
8255.0,13.0,8268,6538.0
8226.0,22.0,8248,6547.0
8799.0,17.0,8816,6542.0
8532.0,16.0,8548,6541.0
8682.0,14.0,8696,6539.0
8521.0,29.0,8550,6554.0
8420.0,14.0,8434,6539.0
8517.0,20.0,8537,6545.0
8206.0,20.0,8226,6545.0
8704.0,24.0,8728,6549.0
8468.0,15.0,8483,6540.0
8449.0,29.0,8478,6554.0
8444.0,11.0,8455,6536.0
8703.0,21.0,8724,6546.0
7987.0,17.0,8004,6542.0
8493.0,12.0,8505,6537.0
8549.0,18.0,8567,6543.0
8224.0,28.0,8252,6553.0
8789.0,11.0,8800,6536.0
8312.0,21.0,8333,6546.0
8627.0,9.0,8636,6534.0
8392.0,28.0,8420,6553.0
8126.0,16.0,8142,6541.0
8781.0,7.0,8788,6532.0
8319.0,18.0,8337,6543.0
8639.0,10.0,8649,6535.0
8493.0,32.0,8525,6557.0
8335.0,20.0,8355,6545.0
8311.0,24.0,8335,6549.0
8513.0,9.0,8522,6534.0
8627.0,12.0,8639,6537.0
8215.0,10.0,8225,6535.0
8571.0,15.0,8586,6540.0
8491.0,13.0,8504,6538.0
8408.0,15.0,8423,6540.0
8653.0,22.0,8675,6547.0
8574.0,14.0,8588,6539.0
8717.0,11.0,8728,6536.0
8751.0,12.0,8763,6537.0
8941.0,11.0,8952,6536.0
8729.0,17.0,8746,6542.0
8474.0,12.0,8486,6537.0
8463.0,22.0,8485,6547.0
9115.0,18.0,9133,6543.0
8444.0,17.0,8461,6542.0
8522.0,17.0,8539,6542.0
8333.0,11.0,8344,6536.0
8019.0,18.0,8037,6543.0
8581.0,19.0,8600,6544.0
8600.0,12.0,8612,6537.0
8404.0,23.0,8427,6548.0
8735.0,11.0,8746,6536.0
8486.0,7.0,8493,6532.0
8483.0,18.0,8501,6543.0
8483.0,6.0,8489,6531.0
8239.0,25.0,8264,6550.0
8298.0,18.0,8316,6543.0
8447.0,17.0,8464,6542.0
8257.0,21.0,8278,6546.0
8178.0,23.0,8201,6548.0
8774.0,11.0,8785,6536.0
8426.0,18.0,8444,6543.0
8428.0,22.0,8450,6547.0
8653.0,17.0,8670,6542.0
8723.0,12.0,8735,6537.0
8288.0,16.0,8304,6541.0
8227.0,14.0,8241,6539.0
8408.0,17.0,8425,6542.0
8443.0,20.0,8463,6545.0
8874.0,15.0,8889,6540.0
8389.0,12.0,8401,6537.0
9109.0,15.0,9124,6540.0
8056.0,12.0,8068,6537.0
8059.0,25.0,8084,6550.0
8230.0,24.0,8254,6549.0
8475.0,12.0,8487,6537.0
8065.0,19.0,8084,6544.0
8581.0,12.0,8593,6537.0
8154.0,18.0,8172,6543.0
8602.0,16.0,8618,6541.0
8126.0,23.0,8149,6548.0
8558.0,18.0,8576,6543.0
7899.0,40.0,7939,6565.0
8149.0,29.0,8178,6554.0
8515.0,21.0,8536,6546.0
8367.0,10.0,8377,6535.0
8414.0,15.0,8429,6540.0
8668.0,17.0,8685,6542.0
8443.0,13.0,8456,6538.0
8562.0,22.0,8584,6547.0
8979.0,20.0,8999,6545.0
8114.0,14.0,8128,6539.0
8594.0,15.0,8609,6540.0
8704.0,16.0,8720,6541.0
8281.0,25.0,8306,6550.0
