p_idle,d_idle,total_idle_time,d_total_time
1768.0,4.0,1772,1376.0
2221.0,8.0,2229,1380.0
1984.0,12.0,1996,1384.0
2415.0,9.0,2424,1381.0
1970.0,7.0,1977,1379.0
1872.0,4.0,1876,1376.0
2022.0,11.0,2033,1383.0
1742.0,28.0,1770,1400.0
1508.0,21.0,1529,1393.0
2159.0,1.0,2160,1373.0
2044.0,3.0,2047,1375.0
1884.0,10.0,1894,1382.0
2583.0,17.0,2600,1389.0
1976.0,1.0,1977,1373.0
1816.0,14.0,1830,1386.0
2233.0,15.0,2248,1387.0
2040.0,12.0,2052,1384.0
2132.0,23.0,2155,1395.0
2214.0,9.0,2223,1381.0
2238.0,11.0,2249,1383.0
1901.0,11.0,1912,1383.0
1792.0,5.0,1797,1377.0
2064.0,10.0,2074,1382.0
2005.0,4.0,2009,1376.0
2112.0,8.0,2120,1380.0
1609.0,5.0,1614,1377.0
1884.0,8.0,1892,1380.0
2054.0,3.0,2057,1375.0
1837.0,11.0,1848,1383.0
2052.0,2.0,2054,1374.0
2358.0,1.0,2359,1373.0
2152.0,11.0,2163,1383.0
2088.0,10.0,2098,1382.0
2054.0,2.0,2056,1374.0
1361.0,7.0,1368,1379.0
1691.0,12.0,1703,1384.0
2218.0,3.0,2221,1375.0
1757.0,16.0,1773,1388.0
2269.0,5.0,2274,1377.0
2286.0,4.0,2290,1376.0
1645.0,11.0,1656,1383.0
1890.0,19.0,1909,1391.0
2183.0,7.0,2190,1379.0
2071.0,21.0,2092,1393.0
1986.0,1.0,1987,1373.0
2661.0,4.0,2665,1376.0
1920.0,1.0,1921,1373.0
2149.0,8.0,2157,1380.0
1780.0,2.0,1782,1374.0
2149.0,10.0,2159,1382.0
2176.0,2.0,2178,1374.0
2391.0,1.0,2392,1373.0
2042.0,1.0,2043,1373.0
2321.0,11.0,2332,1383.0
1903.0,13.0,1916,1385.0
2115.0,11.0,2126,1383.0
1300.0,10.0,1310,1382.0
1860.0,22.0,1882,1394.0
2477.0,1.0,2478,1373.0
1761.0,12.0,1773,1384.0
1934.0,16.0,1950,1388.0
2419.0,7.0,2426,1379.0
2211.0,5.0,2216,1377.0
1628.0,14.0,1642,1386.0
1967.0,3.0,1970,1375.0
1889.0,3.0,1892,1375.0
1472.0,13.0,1485,1385.0
1904.0,14.0,1918,1386.0
2021.0,20.0,2041,1392.0
2022.0,21.0,2043,1393.0
2052.0,12.0,2064,1384.0
2219.0,5.0,2224,1377.0
1776.0,11.0,1787,1383.0
1751.0,7.0,1758,1379.0
2418.0,18.0,2436,1390.0
2199.0,4.0,2203,1376.0
2188.0,7.0,2195,1379.0
2232.0,13.0,2245,1385.0
2111.0,10.0,2121,1382.0
1924.0,14.0,1938,1386.0
1419.0,6.0,1425,1378.0
1938.0,6.0,1944,1378.0
1947.0,4.0,1951,1376.0
1799.0,12.0,1811,1384.0
1455.0,14.0,1469,1386.0
1568.0,21.0,1589,1393.0
2292.0,5.0,2297,1377.0
2271.0,2.0,2273,1374.0
2028.0,12.0,2040,1384.0
2267.0,1.0,2268,1373.0
1858.0,18.0,1876,1390.0
2588.0,8.0,2596,1380.0
2223.0,4.0,2227,1376.0
2159.0,21.0,2180,1393.0
2345.0,10.0,2355,1382.0
2152.0,1.0,2153,1373.0
2007.0,18.0,2025,1390.0
2300.0,8.0,2308,1380.0
1505.0,27.0,1532,1399.0
2417.0,12.0,2429,1384.0
