p_idle,d_idle,total_idle_time,d_total_time
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
1078,4,1082,1314
