p_idle,d_idle,total_idle_time,d_total_time
2286.0,44.0,2330,3996.0
2159.0,58.0,2217,4010.0
2079.0,35.0,2114,3987.0
2241.0,24.0,2265,3976.0
2249.0,24.0,2273,3976.0
1829.0,26.0,1855,3978.0
1610.0,40.0,1650,3992.0
2645.0,38.0,2683,3990.0
2055.0,58.0,2113,4010.0
1908.0,29.0,1937,3981.0
1648.0,52.0,1700,4004.0
1778.0,46.0,1824,3998.0
2356.0,10.0,2366,3962.0
1660.0,51.0,1711,4003.0
2233.0,17.0,2250,3969.0
1776.0,74.0,1850,4026.0
2092.0,27.0,2119,3979.0
2186.0,25.0,2211,3977.0
1881.0,20.0,1901,3972.0
2578.0,34.0,2612,3986.0
1318.0,63.0,1381,4015.0
1809.0,48.0,1857,4000.0
2697.0,58.0,2755,4010.0
2096.0,23.0,2119,3975.0
1653.0,28.0,1681,3980.0
2214.0,69.0,2283,4021.0
1866.0,40.0,1906,3992.0
2436.0,52.0,2488,4004.0
1992.0,50.0,2042,4002.0
2073.0,24.0,2097,3976.0
2699.0,18.0,2717,3970.0
2173.0,33.0,2206,3985.0
2018.0,33.0,2051,3985.0
1984.0,36.0,2020,3988.0
2258.0,38.0,2296,3990.0
2137.0,23.0,2160,3975.0
1958.0,19.0,1977,3971.0
2078.0,56.0,2134,4008.0
2044.0,73.0,2117,4025.0
1852.0,81.0,1933,4033.0
2050.0,46.0,2096,3998.0
2029.0,49.0,2078,4001.0
1921.0,25.0,1946,3977.0
2726.0,52.0,2778,4004.0
1764.0,18.0,1782,3970.0
1826.0,23.0,1849,3975.0
2283.0,6.0,2289,3958.0
2030.0,64.0,2094,4016.0
2178.0,36.0,2214,3988.0
2337.0,47.0,2384,3999.0
1731.0,46.0,1777,3998.0
1419.0,59.0,1478,4011.0
1902.0,43.0,1945,3995.0
2321.0,65.0,2386,4017.0
2167.0,34.0,2201,3986.0
1594.0,39.0,1633,3991.0
2028.0,32.0,2060,3984.0
2108.0,56.0,2164,4008.0
2780.0,37.0,2817,3989.0
2361.0,28.0,2389,3980.0
2517.0,38.0,2555,3990.0
1902.0,31.0,1933,3983.0
1585.0,49.0,1634,4001.0
2276.0,52.0,2328,4004.0
2709.0,31.0,2740,3983.0
2160.0,19.0,2179,3971.0
1650.0,43.0,1693,3995.0
1725.0,41.0,1766,3993.0
2022.0,29.0,2051,3981.0
2216.0,63.0,2279,4015.0
1885.0,36.0,1921,3988.0
1900.0,53.0,1953,4005.0
2415.0,33.0,2448,3985.0
1828.0,51.0,1879,4003.0
2623.0,33.0,2656,3985.0
2775.0,24.0,2799,3976.0
2454.0,26.0,2480,3978.0
2387.0,71.0,2458,4023.0
2737.0,17.0,2754,3969.0
2135.0,21.0,2156,3973.0
2676.0,28.0,2704,3980.0
1722.0,33.0,1755,3985.0
2615.0,29.0,2644,3981.0
2200.0,22.0,2222,3974.0
2701.0,16.0,2717,3968.0
2183.0,41.0,2224,3993.0
1586.0,28.0,1614,3980.0
1531.0,16.0,1547,3968.0
2027.0,33.0,2060,3985.0
2257.0,22.0,2279,3974.0
1575.0,32.0,1607,3984.0
2220.0,32.0,2252,3984.0
2513.0,66.0,2579,4018.0
1973.0,31.0,2004,3983.0
3045.0,26.0,3071,3978.0
2563.0,22.0,2585,3974.0
2288.0,25.0,2313,3977.0
1484.0,34.0,1518,3986.0
2523.0,54.0,2577,4006.0
2322.0,26.0,2348,3978.0
