p_idle,d_idle,total_idle_time,d_total_time
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
6499.0,862.0,7361.0,4814.0
